image_id,box_id,text,confidence,x1,y1,x2,y2,label
gen_0001.jpg,0,INGREDIENTS,0.859333,49.0,4.0,394.0,120.0,0
gen_0001.jpg,1,Sunflower Lecithin; Cocoa Mass; Naturol Flav0uring (2%); Dried Whole Milk (33%):,0.778735,72.0,99.0,1457.0,227.0,1
gen_0001.jpg,2,Ground Hazelnuts; Cocoa Butter (16%); Sugar,0.519259,63.0,198.0,1218.0,273.0,1
ocrsyn_0002.png,0,Ingredients,0.937913,115.0,27.0,909.0,90.0,0
ocrsyn_0002.png,1,Cornflour (77%); Honey,0.512788,133.0,130.0,1654.0,261.0,1
ocrsyn_0002.png,2,"Brown Sugar, Greck Style Yogurt (Milk)",0.86193,122.0,213.0,1007.0,379.0,1
ocrsyn_0002.png,3,"Concentrated Lemon Juice (60%) , Lactobacillus bulgaricus (8%)",0.55888,105.0,368.0,1951.0,433.0,1
ocrsyn_0002.png,4,Streptococcus thermophilus; Bifidobacterium:,0.958761,138.0,453.0,2284.0,596.0,1
ocrsyn_0002.png,5,Keep refrigerated 0'C to +5'C,0.586323,98.0,553.0,1282.0,600.0,0
ocrsyn_0002.png,6,Not suitable for those with a Nut and Peanut allergy,0.467274,132.0,698.0,735.0,808.0,0
ocrsyn_0003.png,0,Ingredients:,0.897546,61.0,12.0,804.0,116.0,0
ocrsyn_0003.png,1,Acidity Regulator (338); Carbonated Water (29%); Colour (150d):,0.888645,88.0,88.0,1861.0,155.0,1
ocrsyn_0003.png,2,Natural Flavourings; Caffeine (4%) :,0.585442,78.0,169.0,2230.0,324.0,1
ocrsyn_0003.png,3,Allergen Information : Contains Miik,0.477573,95.0,315.0,1563.0,427.0,0
syn_0004.jpg,0,Ingredients:,0.948843,77.0,33.0,683.0,128.0,0
syn_0004.jpg,1,"Wheat Flour, Oat Flakes (4%), Pumpkin Seeds, Sunflower Seeds (77%):",0.7993,62.0,119.0,2129.0,278.0,1
syn_0004.jpg,2,"Salt (5%), Baking Powder (5%), Cinnamon",0.945086,116.0,264.0,866.0,330.0,1
syn_0004.jpg,3,Coconut OiI; Coffee (6%); Flax Seeds (47%),0.598787,119.0,420.0,843.0,590.0,1
syn_0005.jpg,0,Ingredients,0.952508,37.0,52.0,787.0,182.0,0
